Территория/Регион,BasicClothingAffordability,ChildNecessitiesMetIndex,FoodInsecurity_any,BasicClothing_Hotspot,HolidayAffordability,InternetAccess,InternetAccess_Low_Hotspot,MaterialStatusDistribution,Measure,MissedPayments_Hotspot,MissedPaymentsRate,Region_HardshipScore,RegularInternetUse,SevereFoodInsecurity,SevereFoodInsecurity_Hotspot,SocialAffordability,UnexpectedExpense_Low_Hotspot,UnexpectedExpenseCoverage,UnmetHealthcare_Hotspot,UnmetHealthcareNeed,WelfareTrendDistribution,HardshipScore_Total,HardshipRank,FoodInsecurity_Hotspot
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,3,0.6,1,1,0,0,137,,0,1,0,1,,0,1,0,1,0,,137,1,5,0
Актюбинская область,1,2,0.714285714,0,1,0,0,114,,0,0,1,1,0,1,1,1,1,0,,114,3,3,1
г. Алматы,1,3,0.6,0,1,1,0,90,,1,1,1,1,0,0,1,1,1,0,,90,2,4,0
Алматинская область,1,2,0.75,0,1,0,1,92,,1,1,3,1,0,0,1,1,1,0,,92,4,2,1
г. Астана,1,3,0.5,1,1,0,1,74,,1,1,2,1,,0,1,0,1,0,,74,3,3,0
Атырауская область,1,1,0.75,0,1,,1,80,,1,1,3,1,0,0,1,0,1,0,,80,3,3,1
Восточно-Казахстанская область,1,3,0.8,1,1,0,1,114,,1,1,3,1,0,0,1,1,1,0,,114,5,1,1
Карагандинская область,1,4,0.5,1,1,,1,152,,0,1,1,1,0,1,1,0,1,0,,152,3,3,0
Костанайская область,1,4,0.5,0,1,0,1,98,,0,1,1,1,0,1,1,1,1,0,,98,3,3,0
Кызылординская область,1,2,0.833333333,1,1,0,1,78,,0,1,2,1,,0,1,1,1,0,,78,4,2,1
Мангистауская область,1,4,0.666666667,1,1,,1,98,,1,1,2,1,1,1,1,0,1,0,,98,4,2,0
Северо-Казахстанская область,1,2,0.6,0,1,1,0,105,,0,1,0,1,0,1,1,0,1,0,,105,1,5,0
Павлодарская область,1,1,0.6,1,1,0,1,89,,0,1,1,1,,0,1,1,1,0,,89,3,3,0
г. Шымкент,1,2,0.75,1,1,0,1,54,,0,1,2,1,,0,1,1,1,0,,54,4,2,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,2,1,0,1,1,0,79,,1,1,2,1,,0,1,0,1,0,,79,2,4,1
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,2,1,1,1,1,0,87,,1,1,2,1,1,1,1,1,1,0,,87,5,1,1
Жамбылская область,1,3,0.833333333,1,1,0,1,115,,0,1,2,1,0,0,1,1,1,0,,115,4,2,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,,1,0,1,,1,21,,1,1,3,1,0,1,1,0,1,0,,21,4,2,1
